video_name,category_name,title,text,summary
12.mp4,Развлечения,Алкомафия I #2,"это антон истоев! я уверен, это фуксик. смех александр не уносит. у меня все *********** срекция, *****. александру подкинули что-то. корманные семерки. корманная пятерка. соплешь, что-то можно? исти, это же есть блювание. антон, подмечаю, что кирилл против тебя. на кого укажет горлышко, тот рассказывает историю. про блевотину, смотрите, такая история. не прибавить, не убавить. ты что, сразу втащил? без чоканье. без чоканье. без чоканье. я еще мася, короче. ну что же, все сделали шот. фукс. пойдет так? кирилл, подытожим. это мнение о кирилла хорошо. не прибавить, не убавить. тащи. короче. да хватит. что вы там жмакаетесь уже? хорошо, дослушаем бориса. ноль голосов. ноль. антон?группа мужчин и женщин сидят за столом и говорят об игре в покер.","Это Алкомафия! Шоу, в котором комики играют в мафию и пьют горячительные напитки. Градус игры повышается с каждым выпитым бокалом. На розливе ведущий Семен Голубь. Сегодня за звание лучшего игрока и пять тысяч рублей сражаются Антон Истомин, Женя Тасенков, Кирилл Лаврухин, Александр Фукс, Борис Зелигер"
13.mp4,Блоги,"Поверь мне, подруга I #5 I Я не умею ухаживать за собой","чтобы избежать проблем с лишним весом кожей и волосами, важно правильно выставить рацион. например, если у тебя появились избыточные волосы на теле, что нужно сделать? можно ходить без колготок. можно использовать скраб или хорошенько пройтись по поверхности ног мочалкой. после нанеси средства для бритья и осторожно, слышишь? осторожно пройтись станком по ноге по ходу роста волос. спички? это восковая эпиляция и шугаринг. перед удалением волос из других зон надо изучить их особенности. за ними тоже нужно уметь правильно ухаживать. уход важно подбирать по определенному типу. если на два дня и дольше, но при этом волосы сухие, это сухой тип. теперь перейдем к коже. важно подбирать средства по типу кожи, особенно если на лице есть прыщи. вебня запилила? если у тебя появились избыточные волосы на теле, что нужно сделать? можно ходить без колготок.группа женщин сидит за столом, и одна из них разговаривает с камерой.","На ногах появились волосы, а лицо покрылась прыщами? Не переживай, это нормально. С этим сталкиваются все подростки. В сегодняшнем выпуске Аня Хилькевич расскажет, как правильно ухаживать за собой, чтобы избавиться от возникших проблем."
14.mp4,Путешествия,Один выходной | Выпуск 5 | Куда сходить на праздники с детьми?,"лучший мирецкий мой это здесь. да не все. ух, сегодня хочется прям веселья. чего там только нет. просто гулять, радоваться, делать салфаки. все это вы увидите на прилавках этой ярмарки. нет еще? лучше настоящие. согласна, лучше настоящие. все, почем? надо дороже брать? дешевка какая-то. да все просто. туда входят безлимитное катание на аттракционах. но в будни они тут не к чему. у вас есть какой-нибудь лайфхак? вы только зашли? на каких аттракционах хотите покататься? на всех. на всех? или как-то так? или вместе с ними? я их понимаю, они спешат на следующие аттракционы. а только на это каталась пока что? что здесь надо делать, надо быть метким или что?женщина стоит перед зданием и разговаривает с группой людей на заднем плане.","Москва прекрасна в Новый Год, открываются ярмарки, появляются арт объекты, зажигаются яркие огни. Самое время прогулок всей семьей!  Но чем же заняться на каникулах. Какая ярмарка самая красивая? Где бесплатно можно посмотреть выставку Ёлок. И где в тепле найти снежный замок?  Одвайтесь по теплее, берите всю семью сейчас Ташэ расскажет вам, как провести один выходной!"
15.mp4,Авто-мото,$1000 шоу | 1 выпуск | Автобоулинг,"как?! самое малость. но при этом все на ходу. дальний участник егор! ноль! ну что, дружище, как успехи? думаешь, что у нас поровну все? у всех поровну и последний решающий, я так понимаю. как вообще настрой? шестерку хочу. да нет. как так? желайте удачи, еще не все потянут. заходит в краю. вика, твой выход. смотрите, как долго сопротивлялся эта кегля. капец, он сбил. у нас остался егор. егор, давай! занимайте позицию. и я думаю, идеи у него еще будет много по челленджу. залезай. посмотрим, сколько смогу сбить я. боулинг на тачках. до новых встреч.","В этом выпуске, популярный автоблогер Дима Гордей, разыграет среди своих подписчиков 1000$! Чтобы забрать деньги- нужно сбить своей машиной максимальное количество кегель-бочек. На это участникам даётся две попытки. Готовьте чайоку-поехали!"
16.mp4,Развлечения,Диктант со звездой | Выпуск 5 | Николай Должанский,"там учелку тоже таня звали. обзац. в сказке. тогда мне поставили кол. обзац. давайте посмотрим, что же у бабки вышло. и получился коля-бок. обзац. коля-бок. коля-бок. в сени. что это сеанс. а коля-бок. с лобного места. катится коля-бок. вместо обзац. катится коля-бок. прямая речь. коля-бок. коля-бок. пускай обзац будет. коля-бок. коля-бок. сказал коля-бок. итак, сказал коля-бок. прямая речь. прямая речь.группа людей сидит за столом, разговаривая друг с другом, и один из них говорит о чем-то.","Проверить свою грамотность в этом выпуске готов без пяти минут кандидат наук, известный рэпер «Дома-2», чемпион по спорам вокруг слова «абзац» Николай Должанский. Получится ли у Николая смягчить строгого учителя собственными текстами, и сможет ли он написать без ошибок диктант про героя по имени Колябок?"
17.mp4,Спорт,Байкальская миля 2020: лед и скорость!,"какие крутые луцы, вы посмотрите! а можно я к вам снасяду? кстати, не мне, видимо, одной. кость, как вчера прошел первый отборочный заезд твой? может быть, мото-вездеход? многие спрашивают, а что такое байкальская мили? расскажи, на чем кататься? на этом? я же говорила, что байкальская мили, это всегда классное настроение. только на зс лукойл. у нас появился держак по асфальту, то есть нас вообще не сносят. и вот мы с тремя типами шиповки решили тут выступить, поступить. ты как-то ее подготовил специально к байкальской миле? его все равно разворачивает, он все равно буксует. для того, чтобы как можно больше шипов в него влезло. а вот эти штучки, это что такое? это шипы. почему? ну покачусь я, и что? ну ты можешь развернуться, например. навсегда, где-то на байкале, навсегда где-то в сердечке.группа людей стоит в заснеженной зоне, один из них в шлеме.","На фестивале  скорости «Байкальская миля 2020» представили более 100 единиц уникальной техники. Холодный лед Байкала горячо встретил участников и зрителей фестиваля скорости «Байкальская миля», который состоялся в Республике Бурятия с 27 февраля по 29 февраля 2020.  Более ста представителей российских и европейских команд приехали на озеро Байкал, чтобы  установить рекорды скорости на ледяной глади великого озера. Репортаж Татьяны Першиной."
18.mp4,Эзотерика,Такой расклад. Эфир 8. Руны. Про отношения в семье,"дарья, напомни, пожалуйста, телезрителям, как правильно формулировать вопрос для руны. дорогие друзья, я еще раз напоминаю, что руны фиксируют вероятность. ты знаешь, пока ты не обратилась к руну, мне кажется, что вообще я, конечно, не претендую на роль психолога, но вообще две хозяйки в одном доме, кирилл, это не самая правильная идея. потому что перед нами лежит руна кана. будем надеяться, что все-таки отношения мамы кирилла и его супруги, соответственно, перейдут в более благоприятную экологичную плоскость, а прогноз от рун здесь достаточно благоприятный. сможем ли мы наладить отношения, то есть у нас получается михаил и младший брат? можно так обозначить даже… приятная руна, руна урус, но тоже в закрытую, это значит, что человек, который задает нам вопрос, еще не до конца осознает, что потенциал к тому, чтобы наладить данные взаимоотношения, он уже есть, то бишь, жизненная сила в этих отношениях, она по-прежнему есть, по-прежнему есть связь, по-прежнему есть родственные отношения. но все-таки видно, что мария беспокоится.женщина говорит об игре, над которой она работает, а затем мужчина говорит о ней.","В этом выпуске шоу «Такой расклад» вы увидите рунолога Дарью Холикэт и ведущую Янину Студилину. Встречаемся в 20:00! Тема недели и этого выпуска – отношения в семье. В прямом эфире Дарья с помощью рун ответит на вопросы об в отношениях с близкими и дальними родственниками, о сложностях или перспективах в семье и вообще о том, как ужиться вместе. Любые вопросы, связанные с темой, приветствуются! Дорогие зрители, вопросы по теме можно задавать в чате прямо на странице трансляции. И по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_133757 В среду 25 ноября в 20:00 отвечать на вопросы зрителей с помощью метафорических ассоциативных карт будет мак-терапевт и психолог Вероника Копейко. Включайте прямой эфир!"
19.mp4,Лайфстайл,"Почетный гражданин, 2 сезон | Выпуск 4 | Воронеж","саше из бригады. жесть, жесть. пролитарий. пролитарий лучше, да, на ваш взгляд? правда? ну а чё как? блин. по-моему, это слитки. что там? что? фу, боже. жесть. еще туда лезу, да? чего? да что? что там? а? вот это? вот этого? блин. дебилы! пакостные дебилы. главное, засунули еще вот эту штуку. как мы воняем, а? все, я сую, да? и прохожие вон даже такие. фу. блин. раз. да, конечно, я хоть поем. блин, это трындец. что ты на точно? мне что? короче, у меня... все, мишаня, ты попал. ты сам заржал. это капец. да там немужчина и женщина стоят перед группой людей, и они разговаривают друг с другом.","Женя Искандарова и Михаил Еремеев отправляются на родину Русского флота, столицу черноземья, город Воронеж. Героям предстоит посетить знаковые места города, пройти непростые испытания и убедить остаться в родном городе символ Воронежа котенка с улицы Лизюкова. Вернуть свои деньги и телефоны они смогут только если пройдут квест до конца."
20.mp4,Развлечения,Стендап гороскоп: Настя Веневитина - Овны,"по ходу, у меня и бывший овен был, поняли прикол. забавно, что они совпадают с теми днями, когда сашу таню не показывают. а еще гороскоп овна на 2022 год полагает, что некоторые представители знака могут быть отмечены руководством, но при этом ухудшатся взаимоотношения в коллективе.","В первом выпуске шоу “Стендап гороскоп” Настя Веневитина расскажет про то, как непросто быть Овном, и что ждет представителей знака в 2022"
21.mp4,Блоги,Хашлама | Выпуск 7 I Идеальный мужчина для Витоновой | Измены | Контент Насти | The Pancho Factory,"вот один круассан. а что такое беззэшки? подкаблучник *******, да? у тебя был подкаблучник, честно скажи? это фигня какая-то. какие лапунги. в смысле? ну, баруто, например. да я не ****, что такое баруто. наруто. хентай. наруто. хентай? я ой смотрела. сашими. и митсубиси, блин. настя. так? короче, чтоб не был абьюзер. в смысле? это как? сильно. чтобы у меня было оверконтроль. и чтобы не был пробирочный. я? настя витонова. я только шпала. не прикольно? не прикольно. пересматривать..? ты что?группа людей сидит за столом, и один из них разговаривает с камерой.","В гости к Авету пришла Анастасия Витонова. Мы посмотрели пару веселых видео с ТикТока и одно самое милое видео в мире про котят! Потом создали список качеств для идеального парня Витоновой. И поехала жара! Контент самой Насти! Социальные ролики, викторины, влог на ютуб, первый сериал Насти и первый трек Насти. Короче, жаришка. Оставляйте комментарии, пишите нам в соцсети, да и просто радуйтесь. Поели в The Pancho Factory. Это реально вкусно. Мы потом доели эклеры  - огонь! Безе нам не понравились, но среди нас не было фанатов безе. Так что мы советуем.  / / Сотрудничество: email"
22.mp4,Видеоигры,PVP #8 I Маелшторм VS Кристалмей,"тоскуете по временам ланчиков и динамичных, вот этих всех? люцифер? люцифер, может быть, doombringer? валерий леонтьев doom еще раз кто?группа мужчин и женщин сидят за столом и говорят об игре, в которую они играют.","Комментаторы Маелшторм и Кристалмей анализируют текущую мету киберспортивной доты, выясняют почему СНГ тащит, а затем слетают с катушек в кастомке Hadcore Ninja!"
23.mp4,Спорт/Игры,Три лошадиные силы | Выпуск №3,"пошел ты на отапу! сваливаем ! тамбов? от центра и дамкад. короче, смотрите. куда вставлять-то? всхлипывания давай! сваливаем . отправляюсь дальше сваливать на таветика. сейчас либо я, либо саня становимся ведущими. авет, наверное, уликий такой, да? авет, ты уликий, да? умники. все, короче... аня, есть? сам все можно? авет, где авет? это как так? авет ведущий. скоро сужение. ой. смотри, что по кусоку торчит. торчит туда, вдалеке. видишь? погнали. только мне говорят, что ведущим становлюсь я. стопудняк. что за горошина? охренеть. гофей, я уже рядом. и можно нахер промолчу? просто лошары. помеха справа.мужчина говорит по мобильному телефону, в то время как женщина идет по улице мужчина управляет автомобилем на стоянке, в то время как другой мужчина говорит на заднем плане.","Новый третий выпуск! И вновь нас ждут безумные гоночные челленджи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе?    Ставь лайки, пиши комментарии и подписывайся!    Агабекян Авет ...  Саша Стоун /  Макс Игумнов /    #челленджи #челленджи2021"
24.mp4,Юмор,Пойдём отойдём I #12I Сундук запер соседа в туалете. Деревенские поссорились. Пойдём отойдём.,"да выпускали! как? кактус? мне кактус? *****, *****, мне кактус? мне ***** кактус, скажите, пожалуйста. какой ***** мне кактус, *****? какой ***** мне кактус, *****? зая вон на меня хотел накатать, *******. этот капкан еще, *****. хожу с ним, *****. попался. капкан. ***** себе, откуда капкан. у меня, *****, черенок заряжен. зинку. наставил там, прикинь, *****, капканов, *****. негодяй! не на. все, сундук. давай, сейчас посмотрим, как потащит. вот. я как не приду, зинку наш прикачит *****! фиксируйте! да всё! зачем? стойте здесь все! подходим! вот, *****, как помириться надо! я разливаю, да? пойду зинку *******! чё?один человек копает яму в земле лопатой, в то время как другой разговаривает с ним.","Москвич решил сделать подарок Сундуку, но увидел, как тот закрыл в туалете своего соседа. Конечно же, этот инцидент не прошел стороной Начальника, который делал всё, что бы их помирить. А что получилось в итоге вы узнаете в этой серии!"
25.mp4,Спорт,Роман Юнусов и популярный озвучер Карен Арутюнов попали в клуб богачей,"это чехол. поворачиваем клюшку. и опускаемся на пятки. дальше клюшку ставим рядом с собой, разминаем обязательно стопы. у вас какой гандикап? а, это только разминка? а, это только разминка? и мизинец накладывается вот сюда. вот так? что? направо поворачиваемся, делаем замах, да. внахлёст, мизинец. сверху прижимаем. видал? да, по грену. как? а, грин, грин, грин. нет, это я просто, ну, пока наметил, да, наметил. вау, парадельство. карен, есть предложение. пока в луку мы не попадаем, поэтому есть предложение. да нет. продолжаем челлендж. и ты в этом челлендже побеждаешь, карен. клюшки, да, совершенно верно.группа людей играет в гольф, и один из них бьет мяч для гольфа в лунку.","В новом выпуске шоу «Спортивный Интерес» Рома Юнусов и Карен Арутюнов почувствуют себя богатеями или даже мафиози. А всё потому, что им предстоит освоить вид спорта, куда без членства в клубе не попасть. Да, мы отправили героев на поле для гольфа. Солнце, трава, песок, клюшка - вот неполный список того, что мешало ребятам бить по мячу. Ну, а кто выполнил драйв и прошёл лунку быстрее оппонента, ты узнаешь, посмотрев выпуск до конца."
